            SourceId      RAdeg     DEdeg  o_Gmag  o_GBPmag  o_GRPmag          Per    Gmag  GBPmag  GRPmag      R21      R31    Phi21    Phi31    Plx  e_Plx  E(BP/RP)   epsi  Signiepsi    RUWE       Class   New     Notes
 3618283726658466688  206.36177  -8.26423      14        13        13     0.616300  16.724  16.944  16.281    0.401 -999.000    3.870 -999.000 -0.073  0.095     1.220  0.000      0.000   0.933        RRAB  -999         a
 6760404417989925376  283.88202 -30.85597      15        14        13     0.616350  17.945  18.134  17.436 -999.000 -999.000 -999.000 -999.000  0.108  0.305     1.335  0.537      2.083   1.139        RRAB  -999     a,f,h
 6600751897953856768  339.39821 -33.14130      13        12        14     0.619400  17.236  17.488  16.840    0.344 -999.000    3.254 -999.000  0.150  0.144     1.215  0.000      0.000   1.102        RRAB  -999         a
 6761387793719660800  281.59735 -30.12362      15        13        13     0.624740  18.137  18.427  17.624    0.236 -999.000    3.163 -999.000  0.071  0.249     1.232  0.424      0.995   1.094        RRAB  -999         a
 4649684869708905600   78.33946 -73.18860      25        23        21     0.625150  17.599  17.851  17.143    0.216 -999.000    2.576 -999.000 -0.009  0.085     1.217  0.000      0.000   0.940     DCEP_1O  -999      -999
 2408425936552330880  350.12811 -14.79922      14        12        12     0.626960  12.572  12.796  12.222 -999.000 -999.000 -999.000 -999.000  0.291  0.050     1.192  0.000      0.000   1.262        RRAB  -999         a
 4102332175955773568  284.20214 -13.62258      18        16        18     0.632000  16.261  16.817  15.518    0.160 -999.000    4.218 -999.000  0.180  0.062     1.288  0.176      1.326   1.122        RRAB  -999         a
 1745972169389653760  322.54674  12.23887      14        12        13     0.632670  15.711  15.999  15.267    0.419 -999.000    3.691 -999.000 -0.098  0.054     1.266  0.115      0.876   1.137        RRAB  -999         a
 3787613877455692928  165.78397  -6.51434      19        20        19     0.633190  14.814  14.951  14.435 -999.000 -999.000 -999.000 -999.000  0.114  0.048     1.218  0.142      2.658   1.150        RRAB  -999     a,f,h
 2640440860156386944  354.15597  -2.21246      23        21        17     0.645040  13.046  13.199  12.664 -999.000 -999.000 -999.000 -999.000  0.193  0.042     1.212  0.104      3.128   1.293        RRAB  -999     a,f,h
 5834368688367510400  236.68757 -58.04836      42        23        25     0.646380  16.366  16.880  15.598    0.152 -999.000    2.780 -999.000  0.539  0.059     1.335  0.000      0.000   1.054       OTHER  -999      -999
 6061712233648349056  193.94152 -55.57616     117       114       109     0.648940  17.097  17.451  16.555    0.223 -999.000    2.577 -999.000 -0.002  0.097     1.238  0.000      0.000   1.004  DCEP_MULTI     N      -999
 2688646164337625216  323.29728   2.25992      14        14        14     0.654110  16.384  16.531  16.031 -999.000 -999.000 -999.000 -999.000  0.207  0.081     1.206  0.000      0.000   0.951        RRAB  -999         a
 2678701734498867200  334.47084  -0.09314      14        14        12     0.655640  14.182  14.296  13.787    0.607 -999.000    5.187 -999.000  0.145  0.049     1.208  0.077      0.835   1.146        RRAB  -999         a
 6760603949304010112  285.33910 -30.13712      15        12        14     0.656510  13.844  14.121  13.406 -999.000 -999.000 -999.000 -999.000  0.210  0.028     1.227  0.000      0.000   1.095        RRAB  -999         a
 4038180070547113856  274.17024 -35.77060      16        12        13     0.657740  15.660  16.020  15.095    0.361 -999.000    5.357 -999.000  0.018  0.060     1.259  0.076      0.443   1.104        RRAB  -999         a
 6683417614538232320  295.55335 -47.52804      22        22        21     0.658100  15.485  15.664  15.101    0.304 -999.000    4.848 -999.000  0.002  0.049     1.241  0.000      0.000   1.017        RRAB  -999         a
 6104561198198973184  216.27809 -39.71771      15        15        15     0.663890  15.363  15.571  14.988 -999.000 -999.000 -999.000 -999.000  0.221  0.090     1.224  0.167      1.868   1.176        RRAB  -999         a
 2684997709878560512  321.29599  -2.76307      18        16        15     0.663910  16.991  17.191  16.571    0.466 -999.000    5.363 -999.000 -0.044  0.115     1.218  0.285      1.724   1.106        RRAB  -999         a
 4757521942202075904   84.00743 -62.92647      23        18        20     0.668400  17.225  17.488  16.814    0.196    0.168    2.947    0.471  0.011  0.085     1.203  0.000      0.000   1.025     DCEP_1O  -999      -999
 4263294562218097920  290.79935  -0.70263      20        17        15     0.675560  13.852  14.309  13.240    0.251 -999.000    1.643 -999.000  0.277  0.028     1.229  0.000      0.000   0.932        RRAB  -999         a
 4648894973678313600   78.74744 -76.16060      30        27        26     0.684280  17.576  17.851  17.127    0.147    0.121    2.928    0.643  0.096  0.079     1.214  0.000      0.000   0.994     DCEP_1O  -999      -999
 5956362046015245056  267.88431 -43.03744      14        14        15     0.688920  13.302  13.666  12.757 -999.000 -999.000 -999.000 -999.000  0.255  0.047     1.250  0.000      0.000   1.324        RRAB  -999         a
  426097765508018560   13.85755  59.72753      44        40        40     0.699100  13.668  14.183  12.988    0.183    0.110    3.153    0.739  0.112  0.023     1.256  0.000      0.000   0.999     DCEP_1O     N      -999
 4690730875719654656   18.07817 -70.89657      28        25        24     0.699820  16.793  16.931  16.505    0.116 -999.000    2.701 -999.000  0.004  0.066     1.201  0.303      3.233   1.121     DCEP_2O  -999       f,g
 5255955821811454592  150.19748 -61.57770      29        24        27     0.701070  14.736  15.092  14.049    0.152    0.181    2.779    0.917  0.159  0.023     1.331  0.000      0.000   1.042     DCEP_1O  -999         e
 5923970188609330304  258.85712 -53.56237      25        23        24     0.705160  13.520  13.923  12.967 -999.000 -999.000 -999.000 -999.000  0.238  0.023     1.227  0.000      0.000   1.054        RRAB  -999         a
 5565530879721492352  106.46223 -38.48553      30        18        16     0.708380  17.415  17.556  16.836    0.288    0.359    3.156    2.136 -0.125  0.082     1.238  0.169      0.580   1.045         CEP     N     c,g,i
 4071594911751759872  280.72338 -28.62898      14        14        14     0.391950  16.182  16.400  15.775    0.186 -999.000    2.439 -999.000 -0.096  0.089     1.217  0.091      0.355   1.044         RRC  -999         a
 6310721170295782144  221.26436 -14.98347      14        14        14     0.719980  17.026  17.248  16.543    0.287 -999.000    3.272 -999.000  0.083  0.131     1.258  0.000      0.000   1.004        RRAB  -999         a
 6380124062227694208  357.83150 -72.69153      29        25        21     0.722130  17.862  18.068  17.440    0.157    0.145    3.130    0.508 -0.013  0.109     1.242  0.114      0.145   1.017     DCEP_1O  -999      -999
  348184413049730048   24.30011  42.57749      18        13        14     0.732870  17.291  17.611  16.848    0.370    0.282    2.704    1.054  0.023  0.142     1.235  0.000      0.000   0.988        RRAB  -999         a
   69969728833405184   56.64823  25.60661      15        14        14     0.734830  15.686  16.012  15.137    0.431 -999.000    5.016 -999.000  0.015  0.100     1.240  0.000      0.000   1.014        RRAB  -999         a
 6414567573936177408  271.93860 -75.42282      32        30        27     0.740590  16.269  16.575  15.803    0.188    0.242    3.021    0.575  0.137  0.053     1.232  0.073      0.304   1.049        RRAB  -999         a
 6317916035087040512  232.37072  -8.76710      17        12        14     0.754430  17.479  17.890  17.015    0.760 -999.000    3.956 -999.000  0.097  0.183     1.208  0.279      0.925   1.091        RRAB  -999         a
 1693501722163309312  226.50832  67.47462      31        19        22     0.763670  18.868  19.111  18.457    0.265    0.269    3.124    1.073  0.064  0.176     1.234  0.000      0.000   1.012       OTHER  -999      -999
 3442172745919329664   82.35887  27.00089      14        14        13     3.349200  11.568  12.214  10.783 -999.000 -999.000 -999.000 -999.000  0.264  0.065     1.374  0.000      0.000   0.914      DCEP_F  -999         a
 3830315026427160064  154.75121  -2.22486      16        16        13     0.777160  13.092  13.216  12.665 -999.000 -999.000 -999.000 -999.000  0.197  0.034     1.234  0.000      0.000   1.103        RRAB  -999         a
  456215755510110208   32.39808  54.39660      18        15        16     0.778440  18.344  19.352  17.358    0.243 -999.000    2.513 -999.000  0.290  0.232     1.386  0.000      0.000   0.918       OTHER  -999      -999
 6897755139944897024  320.95353  -7.53483      15        13        13     0.797460  12.452  12.714  12.022 -999.000 -999.000 -999.000 -999.000  0.411  0.049     1.219  0.000      0.000   1.139        RRAB  -999         a
 6836508627130440064  326.77736 -18.94681      16        16        14     0.800080  12.500  12.720  12.088 -999.000 -999.000 -999.000 -999.000  0.319  0.046     1.210  0.000      0.000   1.181        RRAB  -999         a
 6498717390695909376  351.00500 -57.04665      40        37        37     0.806120  13.824  13.971  13.465    0.253    0.448    3.118    0.444  0.107  0.021     1.214  0.059      1.170   1.139      ACEP_F  -999      -999
 6110608443435697536  209.18442 -41.59860      18        20        19     0.813050  15.615  15.854  15.206    0.267 -999.000    3.944 -999.000  0.145  0.041     1.214  0.000      0.000   0.905        RRAB  -999         a
 4648520761770393088   85.76598 -75.18605      31        24        25     0.813590  17.250  17.540  16.796    0.170 -999.000    3.404 -999.000 -0.014  0.064     1.216  0.000      0.000   0.972     DCEP_1O     N       c,g
 2006888825592397440  339.22478  56.90582      33        32        31     0.820630   8.627   8.915   8.181    0.249 -999.000    0.938 -999.000  0.301  0.034     1.240  0.000      0.000   0.838       OTHER  -999      -999
 6289382918071528960  210.92062 -21.31741      13        12        12     0.825760  14.048  14.433  13.442    0.407 -999.000    1.497 -999.000  0.140  0.036     1.233  0.000      0.000   1.182        RRAB  -999         a
 6517084938596655744  336.86332 -49.64311      33        26        27     0.826420  14.972  15.254  14.686    0.285 -999.000    3.455 -999.000 -0.033  0.044     1.227  0.000      0.000   1.096        RRAB  -999      -999
 4065566018985121664  274.15981 -23.98300      17        12        12     0.836300  15.092  15.669  14.280    0.119 -999.000    4.721 -999.000  0.275  0.041     1.296  0.000      0.000   0.990        RRAB  -999         a
 4652889258915055488   72.48404 -73.00018      26        24        21     0.954880  17.242  17.539  16.765    0.203    0.102    3.654    0.916  0.149  0.077     1.243  0.000      0.000   0.921     DCEP_1O  -999      -999
 4044981924341043584  278.28412 -32.84722      17        14        14     0.519860  15.885  16.129  15.416    0.296 -999.000    2.820 -999.000  0.033  0.052     1.264  0.120      0.805   1.086        RRAB  -999         a
 6747245364042812544  298.83610 -33.17826      24        23        22     0.993340  16.195  16.525  15.811    0.229 -999.000    3.719 -999.000  0.001  0.082     1.261  0.000      0.000   0.944         ---  -999  NC:c,e,i
 4704080802304630784   12.82014 -68.98430      32        25        24     0.994690  18.244  18.451  17.791    0.270 -999.000    3.609 -999.000 -0.105  0.127     1.258  0.086      0.061   1.031      DCEP_F     N       c,g
 2976160827140900096   73.77906 -19.18685      38        32        34     1.001440  15.489  15.733  15.058    0.367    0.300    4.018    1.862  0.010  0.033     1.235  0.058      0.434   1.069      ACEP_F     N      -999
 4312135860839059072  283.94833  11.34281      16        16        16     1.001660  17.316  17.988  16.519    0.239 -999.000    4.043 -999.000  0.014  0.114     1.306  0.220      0.790   1.023         ---  -999  NC:c,e,i
 5521400228203695232  123.35129 -42.27568      29        22        24     1.001890  16.049  16.935  15.150    0.424 -999.000    4.035 -999.000  0.038  0.044     1.342  0.000      0.000   0.948      DCEP_F     N      -999
 4614893332502359040   71.40103 -83.98424      24        20        17     1.003890  17.958  18.222  17.382    0.323    0.163    3.805    1.592  0.133  0.124     1.375  0.000      0.000   0.973      ACEP_F  -999     c,d,g
 4708238463790545920    5.67645 -65.43387      32        29        32     1.004090  18.564  18.827  18.183    0.417    0.399    3.957    1.987 -0.046  0.151     1.208  0.000      0.000   1.023      ACEP_F  -999      -999
 5404319076105537280  168.74020 -30.05614      37        33        32     1.004350  16.974  17.275  16.625    0.436    0.283    3.706    1.418  0.035  0.080     1.210  0.000      0.000   1.006        RRAB  -999         a
 5399618148500891264  170.58838 -34.28360      55        54        55     1.006690  14.871  15.112  14.468    0.437    0.323    3.965    1.652  0.054  0.033     1.213  0.000      0.000   1.109      ACEP_F  -999      -999
 5876217269099607424  228.30433 -61.01496      40        17        19     1.006900  16.509  17.177  15.570    0.330 -999.000    4.539 -999.000  0.080  0.061     1.399  0.167      1.513   1.082      ACEP_F     N      -999
 6704675469269150976  281.75811 -47.35349      16        16        17     1.007320  14.877  15.234  14.558    0.233 -999.000    4.113 -999.000  0.073  0.033     1.216  0.000      0.000   1.149       BLHER  -999      -999
 2195343499374100224  309.04947  62.32760      45        37        36     1.008610  18.983  19.425  18.286    0.123 -999.000    4.084 -999.000  0.070  0.196     1.321  0.000      0.000   0.986       OTHER  -999      -999
 6786226555939312256  321.90257 -29.83994      24        24        24     1.009510  14.253  14.499  13.819    0.281    0.250    3.922    1.662  0.140  0.060     1.239  0.000      0.000   1.115       BLHER     N      -999
 6636621197069927424  283.17300 -58.68332      47        41        44     1.009950  15.038  15.344  14.548    0.281    0.169    3.947    1.473  0.071  0.035     1.217  0.000      0.000   1.074       BLHER  -999      -999
 5542032357742851712  125.44982 -37.46816      27        28        27     1.010870  16.297  17.083  15.379    0.165 -999.000    4.462 -999.000  0.007  0.049     1.340  0.000      0.000   0.977     DCEP_1O     N         e
 5502483847893261568  100.27596 -50.88845      24        22        20     1.011000  18.622  18.754  18.200    0.216 -999.000    4.411 -999.000  0.094  0.153     1.245  0.000      0.000   0.957     ACEP_1O  -999         g
 1423905186179825536  249.03064  51.41912      23        17        17     1.012200  14.818  15.074  14.391    0.333 -999.000    5.128 -999.000  0.080  0.026     1.223  0.000      0.000   0.978       BLHER  -999      -999
 4038015379997952512  272.99766 -36.11122      18        15        15     1.014950  11.798  12.838  10.855 -999.000 -999.000 -999.000 -999.000  0.157  0.043     1.388  0.000      0.000   0.999       OTHER  -999      -999
 5863775023734439552  201.97391 -65.83820      31        32        32     1.015980  16.479  17.194  15.556    0.363    0.217    4.808    2.893  0.117  0.054     1.354  0.000      0.000   1.125       BLHER     N      -999
 5803939841399454592  265.05280 -71.48701      37        34        34     1.016190  12.978  13.217  12.706    0.498    0.312    4.008    1.724  0.104  0.019     1.221  0.000      0.000   0.984      ACEP_F  -999      -999
 2026857124982231296  298.26073  26.06881      44        41        37     1.017650  15.168  16.277  14.094    0.346    0.260    4.861    3.138  0.253  0.034     1.405  0.141      3.152   1.069       BLHER     N       f,g
 4652312599416423040   68.88711 -74.56297      26        23        21     1.017870  17.026  17.301  16.592    0.227    0.069    3.978    1.498  0.015  0.068     1.218  0.000      0.000   1.018     DCEP_1O  -999      -999
 4594729766718946304  265.52038  27.75574      38        38        36     1.019770  16.826  16.982  16.469    0.349    0.355    3.860    1.642 -0.073  0.056     1.273  0.120      0.560   1.018      ACEP_F  -999      -999
 4649732762885142272   77.24295 -73.85941      22        20        19     1.022680  17.061  17.348  16.578    0.234    0.067    4.153    1.990 -0.066  0.075     1.230  0.000      0.000   0.942     DCEP_1O  -999      -999
 4907074387075255424   10.41778 -58.49696      33        28        29     1.024130  18.674  18.802  18.193    0.528    0.372    3.357    1.488 -0.074  0.164     1.319  0.000      0.000   1.011      ACEP_F     N       c,g
 5844822466883453056  198.43814 -68.88641      31        27        27     1.025580  14.565  15.010  14.002    0.483    0.332    4.120    1.991  0.056  0.026     1.240  0.000      0.000   1.078      ACEP_F  -999      -999
 4649192288497291776   74.68888 -75.02805      23        21        20     1.027020  16.837  17.105  16.424    0.263 -999.000    3.931 -999.000  0.006  0.069     1.206  0.187      1.046   1.067  DCEP_MULTI  -999      -999
 5446743972782689920  155.78336 -34.13847      31        27        28     1.031970  15.042  15.312  14.590    0.398    0.287    4.034    2.038  0.040  0.034     1.231  0.053      0.402   1.164      ACEP_F     N      -999
 5265845860154530304   91.98780 -73.47132      24        21        23     1.033410  17.925  18.228  17.523    0.352    0.250    3.990    1.300  0.024  0.128     1.260  0.000      0.000   0.920      ACEP_F  -999      -999
 5280412430713809024   99.91805 -67.19504      72        66        67     1.037160  17.268  17.436  16.949    0.092    0.071    3.685    6.098  0.028  0.076     1.199  0.090      0.175   1.047     ACEP_1O  -999      -999
